SleepQuality,Steps,Alarm,TimeInBed,TimeAsleep,TimeBeforeSleep,SnoreTime
94.0,0,1,34207.2,30900.5,228.0,0
71.0,0,0,25047.9,23044.1,167.0,0
49.0,0,0,16971.3,14538.7,113.1,0
94.0,0,0,35730.8,33229.6,238.2,0
93.0,0,0,31246.2,27496.6,208.3,0
82.0,0,0,29788.1,26014.9,198.6,0
80.0,0,0,28660.1,25889.6,191.1,0
97.0,0,0,34056.0,30650.4,227.0,0
97.0,0,0,33412.0,29291.2,222.7,0
82.0,0,0,28678.5,25810.7,191.2,0
73.0,0,0,24938.7,21613.6,166.3,0
78.0,0,1,26951.6,26771.9,179.7,0
80.0,0,1,26898.5,23939.7,179.3,0
96.0,0,0,32190.1,27468.9,214.6,0
94.0,0,0,31559.4,27667.1,210.4,0
69.0,0,1,23821.3,19533.5,158.8,0
67.0,0,1,22159.6,20682.3,147.7,0
80.0,0,1,26662.3,21774.2,177.7,0
71.0,0,1,22711.3,20061.6,151.4,0
89.0,0,1,29029.0,26029.4,193.5,0
81.0,0,0,27364.5,21800.4,182.4,0
93.0,0,0,31057.3,26398.7,207.0,0
92.0,0,1,31276.9,30442.9,208.5,0
58.0,0,1,19056.9,14102.1,127.0,0
67.0,0,1,22555.3,18946.5,150.4,0
57.0,0,1,18519.0,14259.6,123.5,0
95.0,0,0,36473.2,33676.9,243.2,0
65.0,0,1,23067.3,22452.2,153.8,0
48.0,0,1,16374.5,14737.0,109.2,0
71.0,0,1,23230.8,20830.2,154.9,0
78.0,0,1,26087.1,25913.2,173.9,0
69.0,0,1,23361.1,22193.0,155.7,0
92.0,0,0,31576.1,24418.9,210.5,0
90.0,0,0,29141.5,23993.2,194.3,0
68.0,0,1,21750.3,19285.3,145.0,0
70.0,0,1,22726.7,20681.3,151.5,0
82.0,0,1,24995.8,23829.4,166.6,0
76.0,0,1,25974.2,23723.1,173.2,0
75.0,0,1,25461.7,22745.8,169.7,0
99.0,0,0,33051.3,31398.8,220.3,0
66.0,0,1,21732.5,19776.5,144.9,0
67.0,0,1,21417.4,20632.1,142.8,0
85.0,0,1,26571.8,25686.1,177.1,0
67.0,0,1,21940.7,19819.8,146.3,0
67.0,0,1,21941.7,19966.9,1535.9,0
78.0,0,1,24961.1,21882.5,166.4,0
65.0,0,1,21455.6,20311.3,143.0,0
69.0,0,1,21986.3,20080.8,146.6,0
68.0,0,1,21862.5,18364.5,145.7,0
100.0,0,0,34627.6,30356.9,1154.3,0
97.0,0,0,38029.9,32832.4,253.5,0
92.0,0,0,29955.0,26160.7,199.7,0
80.0,0,0,25992.5,23999.8,1213.0,0
76.0,0,1,23224.9,20360.5,1083.8,0
67.0,2358,1,21630.0,18097.1,144.2,0
58.0,0,1,22087.1,21056.4,147.2,0
64.0,0,1,20112.8,18906.0,134.1,0
64.0,0,1,19915.9,19384.8,132.8,0
69.0,5145,1,23011.9,21938.0,153.4,0
97.0,0,0,39376.4,34913.7,262.5,0
65.0,0,1,21722.4,19260.5,144.8,0
73.0,0,1,22480.7,19857.9,674.4,0
64.0,0,1,20407.4,19183.0,136.0,0
66.0,0,1,20860.5,19887.0,139.1,0
58.0,0,1,18458.3,17596.9,123.1,0
93.0,0,0,30220.6,26291.9,201.5,0
64.0,0,1,21782.0,20329.9,145.2,0
74.0,0,1,24110.8,21539.0,160.7,0
67.0,0,1,21950.5,18804.3,146.3,0
68.0,0,1,22424.1,21377.6,149.5,0
68.0,0,1,21477.8,20618.6,143.2,0
76.0,0,1,25146.9,21458.6,167.6,0
75.0,0,1,24157.1,20372.5,161.0,0
68.0,0,1,22521.5,18767.9,150.1,0
78.0,0,1,25918.2,22980.8,172.8,0
86.0,4186,0,33505.5,28926.4,223.4,0
86.0,7560,0,35920.4,29574.5,239.5,0
87.0,0,1,28789.3,27253.9,191.9,0
94.0,0,0,31905.2,28821.1,212.7,0
74.0,0,1,24018.6,21776.9,160.1,0
86.0,0,1,26937.8,25052.2,179.6,0
76.0,0,1,24447.9,22084.6,1792.8,0
66.0,0,1,21517.5,17357.4,143.4,0
97.0,0,0,32588.1,27808.5,217.3,0
75.0,0,0,24012.5,20250.6,160.1,0
71.0,0,1,24130.8,22039.5,160.9,0
72.0,4915,1,23464.1,21899.8,156.4,0
69.0,5156,1,22168.9,22021.1,147.8,0
64.0,4955,1,21314.2,17264.5,142.1,0
61.0,5038,1,20404.8,19724.6,136.0,0
81.0,2568,0,27343.5,27161.2,182.3,0
67.0,2182,1,22177.7,20773.1,147.9,0
59.0,5696,1,19524.0,18352.6,130.2,0
78.0,7091,1,25070.8,24903.6,167.1,0
64.0,1969,1,21185.7,20267.7,141.2,0
65.0,6533,1,21537.4,19670.8,143.6,0
79.0,316,1,27835.2,21062.0,1113.4,1
69.0,5335,1,23457.3,21502.6,156.4,1
